vacancy_name,salary_min,salary_max,salary_currency,vacancy_link,site,company_name,city,metro_station
Аналитик данных,,,,https://spb.hh.ru/vacancy/72306121?from=vacancy_search_list&query=python,hh.ru,,,
QA Manual middle,,150000.0,руб.,https://spb.hh.ru/vacancy/76940164?from=vacancy_search_list&query=python,hh.ru,,,
"Эксперт в Команду ""Чат-бот""",,,,https://spb.hh.ru/vacancy/76911066?from=vacancy_search_list&query=python,hh.ru,,,
Инженер по нагрузочному тестированию,,,,https://spb.hh.ru/vacancy/76919325?from=vacancy_search_list&query=python,hh.ru,,,
Backend разработчик С++ в команду Транспорта,,,,https://spb.hh.ru/vacancy/72747031?from=vacancy_search_list&query=python,hh.ru,,,
Application security specialist,,,,https://spb.hh.ru/vacancy/76539544?from=vacancy_search_list&query=python,hh.ru,,,
Разработчик ETL,,,,https://spb.hh.ru/vacancy/76888773?from=vacancy_search_list&query=python,hh.ru,,,
Менеджер проекта,150000.0,320000.0,руб.,https://spb.hh.ru/vacancy/76910722?from=vacancy_search_list&query=python,hh.ru,,,
DevOps инженер,,,,https://spb.hh.ru/vacancy/75684741?from=vacancy_search_list&query=python,hh.ru,,,
Программист-тестировщик (отдел автотестирования),46000.0,92000.0,руб.,https://spb.hh.ru/vacancy/75786851?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор серверов Linux (удаленно),230000.0,230000.0,руб.,https://spb.hh.ru/vacancy/76505079?from=vacancy_search_list&query=python,hh.ru,,,
Программист 1С (стажер),35000.0,40000.0,руб.,https://spb.hh.ru/vacancy/76435256?from=vacancy_search_list&query=python,hh.ru,,,
DevOps инженер (Linux),,,,https://spb.hh.ru/vacancy/75777798?from=vacancy_search_list&query=python,hh.ru,,,
Консультант 1С,,,,https://spb.hh.ru/vacancy/74378411?from=vacancy_search_list&query=python,hh.ru,,,
QA automation (R&D),,,,https://spb.hh.ru/vacancy/74246182?from=vacancy_search_list&query=python,hh.ru,,,
Руководитель направления безопасности кода,,,,https://spb.hh.ru/vacancy/74273857?from=vacancy_search_list&query=python,hh.ru,,,
Data engineer,,,,https://spb.hh.ru/vacancy/76334312?from=vacancy_search_list&query=python,hh.ru,,,
Ведущий QA инженер,,,,https://spb.hh.ru/vacancy/76637802?from=vacancy_search_list&query=python,hh.ru,,,
Middle С++ Developer (Cloud),,,,https://spb.hh.ru/vacancy/76339882?from=vacancy_search_list&query=python,hh.ru,,,
DWH разработчик / DWH инженер / Data Engineer,110000.0,,руб.,https://spb.hh.ru/vacancy/76291842?from=vacancy_search_list&query=python,hh.ru,,,
Специалист по тестированию на проникновение (pentest),,,,https://spb.hh.ru/vacancy/76272121?from=vacancy_search_list&query=python,hh.ru,,,
Продуктовый аналитик,80000.0,,руб.,https://spb.hh.ru/vacancy/76283804?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор,44000.0,75000.0,руб.,https://spb.hh.ru/vacancy/76264846?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик бизнес процессов,60000.0,,руб.,https://spb.hh.ru/vacancy/76279241?from=vacancy_search_list&query=python,hh.ru,,,
QA mobile / Инженер по тестированию (manual/auto) в Тинькофф Мобильный Банк,,,,https://spb.hh.ru/vacancy/76266218?from=vacancy_search_list&query=python,hh.ru,,,
Программист - математик,,,,https://spb.hh.ru/vacancy/73987904?from=vacancy_search_list&query=python,hh.ru,,,
Инженер Linux,,,,https://spb.hh.ru/vacancy/54220301?from=vacancy_search_list&query=python,hh.ru,,,
Инженер по тестированию,,,,https://spb.hh.ru/vacancy/76170010?from=vacancy_search_list&query=python,hh.ru,,,
Инженер-программист встраиваемых систем (Embedded Firmware Engineer),,,,https://spb.hh.ru/vacancy/76160612?from=vacancy_search_list&query=python,hh.ru,,,
Преподаватель по программированию,30000.0,90000.0,руб.,https://spb.hh.ru/vacancy/76114311?from=vacancy_search_list&query=python,hh.ru,,,
"C++ Developer (Middle, Senior)",,,,https://spb.hh.ru/vacancy/76124182?from=vacancy_search_list&query=python,hh.ru,,,
['Python'],,,По договорённости,https://www.superjob.ru/clients/bank-vtb-235578.html,www.superjob.ru,Банк ВТБ,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/megapolis-121161.html,www.superjob.ru,МЕГАПОЛИС,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/bank-vtb-235578.html,www.superjob.ru,Банк ВТБ,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/megapolis-121161.html,www.superjob.ru,МЕГАПОЛИС,Москва,
